time,type,qty,price
00:56.0,sell,-609319,15.53186367
00:56.6,sell,-341532,15.51410717
00:57.2,sell,-956306,15.49952547
00:57.5,sell,-3006155,15.49868829
00:57.5,buy,1234412,15.45195361
00:57.6,buy,4116121,15.5210021
00:58.2,buy,2059880,15.62933275
00:58.7,buy,268375,15.64448572
00:59.4,buy,156463,15.73667573
00:59.6,buy,241650,15.73762906
00:59.7,buy,38014,15.77272166
01:00.1,buy,4613,15.8919934
01:00.2,sell,-1586928,15.90114689
01:01.0,sell,-73561,15.81418945
01:01.6,sell,-1297786,15.81284517
01:01.8,sell,-1919606,15.81123676
01:02.6,sell,-647143,15.79841524
01:02.7,buy,1003675,15.75428175
01:03.4,sell,-1401234,15.77484032
01:04.0,buy,5423716,15.49316848
01:04.9,buy,351621,15.53517057
01:05.2,buy,165271,15.5567806
01:06.1,buy,76054,15.71308826
01:06.4,sell,-38316,15.74824796
01:06.7,sell,-20558,15.7473246
01:07.7,buy,1681,15.73962095
01:08.4,buy,40992,15.75526606
01:08.6,sell,-954614,15.97096163
01:09.2,buy,296474,15.9656395
01:09.9,buy,664783,15.98018347
01:10.3,sell,-1482476,15.98574726
01:10.5,sell,-23877,15.93190137
01:10.5,buy,860736,15.90931842
01:10.6,buy,566818,15.93229952
01:11.4,buy,113474,15.95443207
01:11.6,sell,-468674,15.95461729
01:12.2,buy,8189,15.91212392
01:12.6,buy,212123,16.0097201
01:13.0,sell,-43071,16.07239618
01:13.3,buy,9954,16.04973144
01:13.9,buy,125795,16.07722361
01:14.1,sell,-896760,16.16142994
01:14.2,buy,553202,16.16076231
01:14.5,buy,495900,16.16957003
01:15.3,buy,11276,16.17139152
01:15.5,buy,633,16.20175528
01:16.0,buy,5825,16.24445583
01:16.0,sell,-1439444,16.41332713
01:16.4,buy,292990,16.31853425
01:16.6,sell,-730541,16.46392271
01:16.9,buy,1057471,16.44389143
01:17.9,buy,667317,16.46823693
01:18.0,sell,-147338,16.49836418
01:19.0,buy,6856,16.4858672
01:19.1,sell,-4950335,16.48679768
01:19.9,buy,1943166,16.37097307
01:20.6,buy,793873,16.38347953
01:20.8,buy,922131,16.38619514
01:20.9,buy,199663,16.3876804
01:21.3,sell,-2357954,16.4083372
01:21.9,sell,-3916155,16.38026827
01:22.2,sell,-394,16.37193171
01:22.2,sell,-135740,16.27980896
01:22.9,buy,7404980,16.27467102
01:23.0,sell,-429169,16.3013506
01:23.2,buy,758560,16.10089858
01:23.3,buy,23608,16.62095468
01:23.7,sell,-287007,16.63265555
01:23.9,buy,39798,16.62606087
01:24.5,sell,-129646,16.62716557
01:24.5,buy,390139,16.4933776
01:25.2,sell,-1791210,16.50006554
01:25.3,buy,390980,16.4899606
01:25.4,buy,788624,16.52183907
01:25.8,buy,468578,16.52843296
01:26.1,sell,-1359728,16.62002394
01:26.7,sell,-3065547,16.57648355
01:27.2,sell,-278606,16.2980259
01:27.8,sell,-360893,16.2848251
01:28.8,buy,1147383,16.27073896
01:29.3,buy,867754,16.27670821
01:29.5,sell,-197375,16.37743154
01:30.1,sell,-7368,16.24178267
01:30.3,sell,-728240,16.23116416
01:31.3,sell,-3339140,16.22139718
01:31.5,sell,-1645295,16.19154084
01:32.0,sell,-9158,16.04733578
01:32.1,buy,2030764,16.04226726
01:32.4,sell,-974975,16.04305386
01:32.8,buy,6581188,16.03563783
01:33.6,sell,-939038,16.06300225
01:34.3,buy,388117,16.02093593
01:35.3,sell,-1223989,16.07299781
01:35.4,buy,2384691,16.06789122
01:35.9,buy,330147,16.12946729
01:36.0,sell,-944114,16.15175836
01:36.4,buy,173286,16.0601314
01:37.3,sell,-357001,16.06967957
01:37.9,sell,-4271278,16.04842687
01:38.2,buy,5834907,16.02188933
01:38.7,sell,-932677,16.08550428
01:38.8,buy,864020,15.98654614
01:39.0,sell,-1789825,15.98654807
01:39.8,sell,-3400308,15.98448095
01:40.6,sell,-212002,15.91453661
01:41.0,buy,2656551,15.82327222
01:41.2,sell,-98230,15.88519178
01:42.1,sell,-3263562,15.88162475
01:42.9,buy,6019481,15.86381339
01:43.8,sell,-722918,15.86766923
01:44.0,buy,714346,15.86165927
01:44.5,buy,121020,15.87259072
01:44.5,buy,90887,15.87268923
01:44.6,sell,-47313,15.88489028
01:44.7,sell,-2997148,15.88120438
01:45.1,sell,-388180,15.75971746
01:45.1,buy,523706,15.72077285
01:45.1,sell,-1389557,15.89500432
01:46.1,sell,-176545,15.89433691
01:47.0,buy,1353433,15.72852731
01:47.2,buy,62585,15.73286683
01:48.1,sell,-821323,15.82385641
01:48.3,buy,2396468,15.79137447
01:48.4,buy,481467,15.79432111
01:48.8,sell,-27700,15.80019414
01:49.5,buy,1073810,15.68194152
01:49.9,buy,20937,15.72787283
01:50.6,sell,-1096680,15.74240505
01:51.3,buy,717054,15.73070389
01:51.7,buy,59398,15.98426863
01:52.4,sell,-354859,16.52244211
01:52.5,sell,-106303,16.44588979
01:53.2,buy,60079,16.42020312
01:53.6,sell,-2728932,16.43321121
01:54.2,sell,-778892,16.43313514
01:55.1,sell,-36133,16.39016476
01:55.1,sell,-212832,16.32742346
01:55.6,sell,-1269260,16.31322042
01:56.5,buy,3052734,16.31167682
01:57.0,buy,400314,16.33874435
01:57.2,buy,403542,16.3592555
01:57.7,buy,246776,16.58062131
01:58.5,buy,1381320,16.66063352
01:58.7,buy,72299,16.66677745
01:59.5,buy,32141,16.67099307
02:00.0,buy,43774,16.74662728
02:00.3,buy,78867,16.7736285
02:00.6,sell,-102414,17.32492775
02:00.6,sell,-2000126,17.0633126
02:01.4,sell,-178700,17.03940873
02:01.8,sell,-395350,16.72241423
02:02.5,sell,-95711,16.54015489
02:02.9,buy,1524698,16.48971823
02:03.8,buy,331849,16.55473933
02:04.2,buy,251164,16.56272141
02:04.9,sell,-15347,16.69403589
02:04.9,sell,-518271,16.69259977
02:05.4,buy,967921,16.66122222
02:05.8,sell,-254499,16.66263717
02:06.7,buy,470479,16.66007171
02:07.5,buy,23061,16.74325291
02:07.6,sell,-11510391,16.74388842
02:07.8,sell,-2959,16.73644404
02:08.7,buy,3650774,16.69436642
02:08.7,sell,-123036,16.69978943
02:08.8,buy,4539815,16.67692235
02:09.4,buy,91304,16.79025407
02:09.8,buy,2238150,16.87628845
02:10.3,buy,695065,16.90387885
02:10.5,sell,-3306033,17.08506178
02:11.4,sell,-361957,17.02558581
02:12.2,sell,-45875,16.99381445
02:12.3,sell,-61419,16.94528133
02:13.1,buy,1475570,16.91209727
02:13.3,buy,1452392,16.95085349
02:13.9,buy,1041511,16.95717077
02:14.1,buy,200853,16.97463273
02:14.5,sell,-25678,17.10516642
02:15.2,buy,99493,17.00371986
02:16.0,sell,-301813,17.06822125
02:16.9,buy,231889,17.00047883
02:17.0,sell,-21669,17.04529121
02:17.8,buy,10708,17.04205376
02:18.1,buy,52765,17.10237245
02:18.5,buy,20321,17.1357373
02:19.5,sell,-50556,17.22496032
02:19.5,sell,-818590,17.19626708
02:20.4,sell,-1511492,17.10535647
02:20.8,buy,1046893,16.98606639
02:20.9,sell,-94836,17.03774273
02:21.6,buy,284473,16.92477145
02:21.7,sell,-864302,16.9757797
02:22.0,sell,-168921,16.89569401
02:22.1,buy,1549028,16.85440077
02:22.5,buy,341623,16.85562301
02:22.9,buy,242242,16.89178797
02:23.0,sell,-640,16.89814673
02:23.4,sell,-1292939,16.80122704
02:23.4,buy,85501,16.79210097
02:24.3,buy,601726,16.8166477
02:25.2,buy,341673,16.88680464
02:25.5,sell,-207123,16.98682453
02:25.9,sell,-793775,16.98115425
02:26.7,sell,-1422002,16.92595641
02:27.2,buy,1043420,16.92105701
02:27.5,sell,-4149038,16.94052553
02:27.9,buy,4664759,16.91953864
02:28.8,sell,-1691561,16.94568937
02:29.7,buy,2294962,16.7520157
02:30.6,buy,9600,16.75594878
02:31.0,buy,75245,16.77897997
02:31.6,buy,141382,16.78291353
02:32.6,buy,67057,16.80414587
02:33.0,sell,-144616,16.90170034
02:33.6,sell,-165802,16.76128351
02:34.5,sell,-640729,16.74544356
02:35.4,buy,82423,16.73591686
02:36.2,buy,524475,16.75698902
02:36.4,sell,-1078521,16.76894127
02:36.8,sell,-63871,16.7665956
02:37.4,buy,1623313,16.69816142
02:37.9,sell,-47661,16.76030189
02:38.3,buy,160831,16.75840862
02:39.0,sell,-370994,16.77050893
02:40.0,buy,158103,16.61559131
02:40.0,sell,-3307,16.70710655
02:40.9,sell,-358304,16.70204955
02:41.7,sell,-225534,16.65415001
02:42.4,sell,-307539,16.58331743
02:42.8,sell,-2389559,16.5826302
02:43.0,sell,-105964,16.56256929
02:44.0,sell,-94370,16.23977101
02:44.2,sell,-9842,16.22531973
02:44.3,buy,2979342,16.1335706
02:45.0,sell,-10090507,16.18256598
02:45.3,buy,5929773,16.1725672
02:45.4,buy,3211256,16.19115279
02:45.5,buy,1415617,16.26650246
02:46.1,sell,-6882,16.27147899
02:46.9,sell,-21197,16.21863466
02:47.4,sell,-38676,16.15136371
02:48.0,buy,147750,16.14390435
02:48.1,buy,211834,16.31091916
02:48.3,buy,2083,16.3839948
02:48.6,buy,922,16.45840265
02:49.3,sell,-4655270,16.55440234
02:50.0,buy,161237,16.51536204
02:50.5,buy,1920955,16.55595164
02:51.3,sell,-387173,16.62253118
02:51.4,sell,-7714,16.59153749
02:51.5,sell,-440591,16.54392465
02:52.5,buy,1832607,16.47655052
02:52.8,buy,1072481,16.4791863
02:53.6,buy,64223,16.49584028
02:54.3,sell,-1532545,16.51157696
02:54.7,buy,443671,16.45243488
02:54.7,sell,-4238,16.46577937
02:55.2,sell,-966732,16.43228301
02:56.1,sell,-2283323,16.32537379
02:56.3,sell,-2389116,16.31918652
02:56.8,sell,-2236069,16.30108544
02:57.0,buy,3139680,16.24503756
02:57.9,buy,286193,16.36089383
02:58.6,buy,709579,16.38322767
02:58.7,buy,1274988,16.41573611
02:59.4,sell,-558071,16.44895885
02:59.8,buy,2887421,16.43701453
03:00.0,sell,-728855,16.49707619
03:00.6,sell,-1459799,16.30261892
03:00.7,sell,-158510,16.26927082
03:01.2,sell,-62301,16.19017852
03:01.9,sell,-1743376,16.12979685
03:02.4,buy,1376872,16.09178189
03:03.3,sell,-1325495,16.14387409
03:03.5,buy,4610170,15.99778837
03:04.5,buy,191727,16.02028808
03:04.7,sell,-13634,16.20718909
03:05.6,sell,-6128,16.20130545
03:05.6,sell,-2229008,16.13263601
03:06.3,sell,-836725,16.10876033
03:07.2,sell,-2911075,16.08135543
03:07.6,buy,3102604,15.99664818
03:08.5,buy,100277,16.01247306
03:09.2,buy,2188606,16.03882748
03:10.1,buy,959808,16.05935552
03:10.5,sell,-3006,16.13791469
03:10.7,sell,-333557,16.12810669
03:11.1,sell,-54001,16.10538951
03:11.1,sell,-305263,16.10416744
03:11.6,buy,696461,15.99124272
03:12.4,buy,102660,15.99475764
03:13.0,sell,-4195,16.27004936
03:13.8,sell,-2042659,16.26912144
03:14.4,buy,964120,16.25226962
03:14.8,sell,-4078400,16.26514612
03:15.2,buy,272095,16.19569067
03:15.3,buy,3224238,16.21163425
03:15.7,buy,1163065,16.2305044
03:16.0,buy,836294,16.29884741
03:16.4,buy,31963,16.35741815
03:16.5,sell,-1728702,16.36682755
03:17.4,buy,763896,16.32625448
03:17.5,buy,547278,16.32625544
03:18.3,sell,-412143,16.33955669
03:19.0,sell,-1492757,16.29401916
03:19.3,buy,2276711,16.28793801
03:20.2,sell,-939197,16.29716069
03:21.2,sell,-2164665,16.29309785
03:21.9,sell,-13244,16.28791933
03:22.7,sell,-266752,16.2302238
03:23.7,buy,1520358,16.17859078
03:24.2,buy,1942859,16.32254478
03:24.3,buy,81098,16.39562163
03:25.2,sell,-178898,16.47733606
03:25.3,sell,-95784,16.45566058
03:26.0,buy,88600,16.31472069
03:26.4,buy,202540,16.31780363
03:27.0,buy,11875,16.36194975
03:27.8,sell,-1100453,16.41489373
03:28.7,sell,-47375,16.40611899
03:28.7,sell,-271023,16.26929841
03:29.6,sell,-741953,16.26473919
03:30.6,buy,1049108,16.2229852
03:31.4,sell,-169014,16.26495248
03:31.8,sell,-1879956,16.24852744
03:32.1,buy,2416000,16.21522536
03:32.6,buy,498774,16.2979527
03:33.0,sell,-510042,16.42008652
03:33.9,sell,-3581749,16.37342938
03:33.9,buy,4091156,16.34609259
03:33.9,sell,-1248151,16.35896253
03:34.5,buy,312092,16.35804733
03:35.4,buy,88115,16.38793011
03:35.7,buy,28896,16.39022146
03:36.2,sell,-756012,16.42387305
03:37.1,buy,792584,16.38150586
03:37.7,buy,896642,16.39161306
03:37.9,buy,35139,16.41829256
03:38.0,sell,-249155,16.42464067
03:38.8,buy,98171,16.40220922
03:39.1,buy,217607,16.44061083
03:39.4,buy,4806,17.00277391
03:39.6,sell,-366093,17.10697117
03:39.7,sell,-166384,17.08594618
03:39.7,buy,80129,17.02364803
03:40.3,buy,449855,17.25621461
03:40.3,buy,21954,17.3815484
03:40.5,buy,3297,17.41447361
03:40.6,sell,-225380,17.57010097
03:40.6,buy,27347,17.43148639
03:40.8,buy,36923,17.43601493
03:41.1,sell,-129195,17.45216927
03:42.0,buy,251039,17.40001249
03:42.2,sell,-2824417,17.42264299
03:43.1,buy,1854035,17.3893831
03:43.5,sell,-3048688,17.40591606
03:43.7,buy,1634740,17.29886303
03:43.9,buy,1746738,17.41286868
03:43.9,buy,212726,17.42597463
03:44.6,sell,-422875,17.59223754
03:44.9,sell,-1022817,17.52797641
03:45.4,buy,1366949,17.47150553
03:46.3,sell,-1163254,17.476581
03:46.6,sell,-1751033,17.46653408
03:46.7,sell,-335532,17.41307742
03:47.6,buy,2077991,17.35425726
03:48.0,sell,-529067,17.44586865
03:48.9,buy,1346845,17.3703513
03:49.3,buy,774643,17.37305266
03:49.5,buy,90850,17.45801848
03:49.8,sell,-4531515,17.52506162
03:50.6,buy,3499779,17.48250354
03:50.7,sell,-985211,17.59273244
03:51.0,buy,1655955,17.58634478
03:51.1,buy,271445,17.63681419
03:51.4,sell,-879544,17.63781534
03:52.3,buy,254875,17.59000609
03:53.1,sell,-500288,17.59594101
03:53.8,sell,-2121751,17.59233428
03:54.2,buy,1746565,17.38937349
03:54.7,buy,1534268,17.51219895
03:55.5,buy,62900,17.51709683
03:55.9,sell,-645257,17.54951748
03:56.8,buy,379013,17.52555087
03:57.3,sell,-700764,17.57692487
03:58.2,sell,-25139,17.5691348
03:58.7,buy,758651,17.47435186
03:59.3,buy,254152,17.54312611
03:59.7,sell,-1948437,17.56009049
04:00.1,sell,-1006983,17.55824981
04:00.7,sell,-464168,17.41310656
04:01.2,sell,-205126,17.40698937
04:01.3,sell,-269037,17.36773978
04:01.7,buy,39810,17.31636815
04:02.1,sell,-18215,17.34800703
04:02.9,buy,1732577,17.09007975
04:03.6,buy,1222023,17.12202953
04:03.8,buy,412945,17.21825245
04:04.5,buy,183367,17.22223841
04:05.1,sell,-156078,17.29361993
04:05.6,buy,79110,17.15865111
04:06.3,sell,-6070318,17.26056058
04:06.7,buy,3611857,17.12049947
04:07.4,buy,2484936,17.14078015
04:07.6,buy,37884,17.16045154
04:07.8,sell,-60131,17.20062728
04:08.8,sell,-73597,16.64527233
04:09.7,sell,-5007978,16.60463244
04:10.3,sell,-520981,16.56214746
04:10.6,buy,312492,16.36809498
04:11.0,sell,-2620981,16.4009721
04:11.5,buy,3531343,16.28243688
04:11.6,buy,517987,16.46389361
04:11.8,sell,-266289,16.49152661
04:11.9,sell,-1632128,16.39975209
04:12.1,sell,-138487,16.38912085
04:12.7,buy,5310909,16.36942521
04:13.5,sell,-1955156,16.41385365
04:14.0,buy,1091612,16.26615802
04:14.6,sell,-293332,16.42944628
04:14.8,sell,-345311,16.38965008
04:14.8,sell,-139160,16.31156856
04:15.7,buy,1690176,16.17880025
04:15.9,sell,-6875,16.18315761
04:16.0,buy,91358,16.06650669
04:16.7,sell,-1431814,16.07023821
04:17.4,buy,846675,16.04286473
04:17.9,buy,769454,16.06777099
04:18.8,sell,-49616,16.10264451
04:19.8,sell,-577886,16.05663116
04:20.5,buy,640995,16.05404564
04:21.1,sell,-267961,16.12081517
04:22.0,buy,232386,16.0838673
04:22.5,sell,-1620734,16.12284721
04:23.3,sell,-52891,16.12139691
04:23.4,buy,837797,16.06940813
04:24.4,sell,-703497,16.18221361
04:25.4,buy,1786150,16.16674878
04:25.7,sell,-3213408,16.26411928
04:26.5,sell,-504603,16.2195321
04:26.7,sell,-996650,16.19825132
04:27.2,sell,-46841,16.13305911
04:27.4,sell,-37245,15.96651114
04:27.6,buy,265304,15.9633679
04:27.7,sell,-270755,16.00052078
04:28.0,buy,3092583,15.99299487
04:28.8,sell,-342185,16.03696251
04:29.3,sell,-43506,15.99195077
04:30.0,buy,605504,15.98744363
04:30.3,buy,445425,15.99380524
04:30.9,buy,263759,16.01412875
04:31.8,sell,-1739305,16.04990542
04:32.4,sell,-1186008,16.02840898
04:32.7,sell,-385518,16.00749815
04:33.2,buy,1468197,15.93362492
04:33.5,sell,-238635,15.9401094
04:34.3,sell,-116223,15.93351491
04:35.1,sell,-223722,15.92113971
04:35.8,buy,811847,15.91545904
04:35.9,sell,-427847,15.96848025
04:36.8,sell,-847178,15.96703402
04:37.6,buy,1636807,15.89519183
04:38.2,sell,-39508,15.9117381
04:38.6,sell,-63686,15.82582411
04:38.7,buy,1213347,15.82498229
04:39.1,sell,-436177,15.89766147
04:39.3,buy,312395,15.89261515
04:39.5,buy,1197627,15.98304811
04:40.2,buy,118066,16.02368897
04:40.3,sell,-97114,16.02487815
04:41.2,buy,260013,15.84959222
04:41.8,buy,6336,15.87990204
04:42.2,sell,-138884,15.97582068
04:42.7,sell,-684070,15.97191054
04:43.4,sell,-18805,15.94601129
04:44.0,buy,416706,15.87037048
04:45.0,buy,216454,15.89405773
04:45.8,buy,151205,15.93727891
04:46.0,sell,-930230,16.11561613
04:46.3,sell,-758310,16.09898361
04:46.6,buy,1408152,16.06452719
04:47.0,sell,-297895,16.12068077
04:48.0,sell,-90767,16.08596616
04:48.5,sell,-169980,16.07766964
04:48.5,buy,418129,16.03707105
04:48.9,buy,70537,16.04427216
04:49.7,buy,389104,16.0571893
04:49.9,buy,23723,16.1216782
04:50.3,buy,503,16.1246914
04:50.6,sell,-2076930,16.18865134
04:51.2,buy,752073,16.178475
04:51.3,sell,-17712,16.18714647
04:52.3,buy,104437,16.18676731
04:52.9,buy,566722,16.18820698
04:53.8,buy,272100,16.30995411
04:54.5,buy,223222,16.40369791
04:55.0,sell,-102442,16.41631629
04:55.0,buy,83934,16.39413309
04:55.1,sell,-116350,16.4467755
04:55.2,buy,58042,16.42841909
04:55.3,sell,-182921,16.53439745
04:56.3,sell,-265165,16.42401484
04:57.0,sell,-107705,16.41034914
04:57.0,sell,-82150,16.38348234
04:57.1,sell,-624664,16.37622694
04:57.4,sell,-6673570,16.2104611
04:57.6,sell,-1836615,16.21032078
04:58.4,buy,9245363,16.20979469
04:59.1,sell,-848205,16.22941387
05:00.1,buy,593454,16.20937837
05:01.0,buy,656794,16.21287512
05:01.4,buy,209257,16.25877618
05:02.0,buy,142566,16.29362662
05:02.9,buy,1747,16.32008363
05:03.7,buy,2394,16.34531876
05:04.5,sell,-788098,16.34724934
05:05.4,buy,790848,16.25932825
05:06.0,buy,15091,16.26289111
05:06.7,sell,-1590,16.44778674
05:07.4,sell,-119614,16.42907223
05:07.6,buy,108701,16.38830566
05:07.7,buy,3562,16.39184085
05:08.5,buy,6194,16.44954517
05:08.7,buy,4067,16.45579947
05:09.2,sell,-265308,16.64084908
05:09.7,sell,-641724,16.63224132
05:10.1,sell,-28065,16.6233128
05:10.4,sell,-351268,16.51355965
05:11.4,buy,867712,16.45639844
05:12.1,sell,-232756,16.51734186
05:12.4,sell,-333623,16.51432219
05:13.1,sell,-9275427,16.29856788
05:13.4,buy,4041372,16.20901724
05:14.4,buy,2189367,16.23209835
05:15.4,buy,3717701,16.24612223
05:16.3,buy,247165,16.28840571
05:16.4,buy,23580,16.3405277
05:16.9,sell,-353078,16.49326895
05:17.0,buy,106698,16.46957565
05:17.8,sell,-190624,16.58665294
05:18.5,sell,-1459246,16.48897936
05:18.6,buy,726960,16.45585121
05:19.5,sell,-29750,16.48783754
05:20.1,buy,1018172,16.16083839
05:21.0,buy,14833,16.16136168
05:21.5,sell,-432134,16.18087131
05:21.8,sell,-3788060,16.14999661
05:21.9,buy,3542071,15.94928774
05:22.0,buy,486209,16.01362279
05:22.0,sell,-1223,16.07551583
05:22.0,sell,-46795,15.89253872
05:22.4,sell,-766789,15.85142452
05:23.1,buy,17803,15.80326511
05:24.0,buy,1011777,15.84773755
05:24.6,sell,-1355096,15.93001653
05:24.7,buy,282944,15.87179222
05:25.4,buy,1059087,15.95048459
05:25.9,sell,-117271,15.97478483
05:26.7,buy,166247,15.914077
05:27.2,buy,140804,15.97501836
05:27.9,sell,-171648,15.98629812
05:28.8,sell,-1093263,15.90518745
05:29.2,sell,-33040,15.8927589
05:29.9,sell,-15663,15.79993576
05:30.2,sell,-70653,15.78732962
05:31.2,buy,52318,15.71251812
05:31.2,buy,1057585,15.81532102
05:32.2,buy,176647,15.81648966
05:32.5,sell,-628223,15.85411239
05:32.7,sell,-1255931,15.75515763
05:33.1,buy,1552439,15.6832938
05:34.1,buy,203527,15.6917171
05:34.4,sell,-846446,15.77329782
05:34.9,buy,797791,15.59795435
05:35.2,sell,-14081,15.66358948
05:35.9,buy,104464,15.66328025
05:36.2,buy,82806,15.68823741
05:36.5,buy,67843,15.69170327
05:37.2,sell,-132759,15.72480009
05:38.0,sell,-42935,15.65849755
05:38.3,buy,133816,15.65414882
05:39.3,buy,28854,15.76457333
05:40.1,sell,-1869549,15.77405474
05:40.7,sell,-288265,15.75891321
05:41.5,sell,-92752,15.70564314
05:42.3,sell,-1428539,15.59476479
05:42.5,sell,-160268,15.58908515
05:42.6,buy,2445079,15.54939669
05:42.6,sell,-1551877,15.57931308
05:42.7,buy,1059065,15.55386718
05:43.4,buy,1589277,15.60918698
05:43.9,sell,-107042,15.61140308
05:44.6,buy,433788,15.61119188
05:45.3,sell,-2961792,15.64079237
05:45.8,buy,2121281,15.63497533
05:45.9,sell,-79412,15.64039661
05:46.1,buy,231311,15.565293
05:46.7,buy,181763,15.59614762
05:46.9,sell,-199,15.61031453
05:47.9,buy,465090,15.54602005
05:48.3,sell,-399090,15.56299834
05:48.9,buy,187788,15.46766535
05:49.3,buy,175369,15.51470618
05:49.8,sell,-374411,15.62235533
05:50.3,buy,21351,15.5418414
05:50.5,sell,-134969,15.58007981
05:50.5,buy,83182,15.5790722
05:50.9,buy,353793,15.57967306
05:51.5,buy,75472,15.84360858
05:51.5,buy,19792,15.85335097
05:52.4,sell,-39714,15.86639736
05:52.6,sell,-43549,15.80899592
05:53.1,sell,-103614,15.79839716
05:54.0,sell,-15509,15.73786175
05:54.7,sell,-3192776,15.73760247
05:54.9,buy,1136650,15.69704531
05:55.8,sell,-381262,15.70837814
05:56.5,sell,-393512,15.51003515
05:57.2,buy,2980610,15.42896805
05:57.7,sell,-2967,15.51479392
05:57.8,buy,74523,15.48386607
05:57.9,sell,-127828,15.4876339
05:58.2,sell,-78830,15.43826875
05:58.3,sell,-19549,15.43533515
05:59.1,buy,160022,15.39568281
05:59.6,sell,-201557,15.40616592
06:00.3,buy,30047,15.40427147
06:01.0,buy,117324,15.4184449
06:01.3,buy,153526,15.43859011
06:02.0,buy,9820,15.44131269
